customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,gender,senior_citizen,has_tech_support,has_streaming,has_online_security,has_online_backup,paperless_billing,num_products,num_support_tickets,avg_call_duration,days_since_last_contact,churn
CUST000000,14,27.8,387.91,Month-to-month,Bank transfer (automatic),Fiber optic,Male,No,1,1,0,1,0,2,1,1.0,12,0
CUST000001,72,36.87,2708.36,One year,Mailed check,Fiber optic,Female,No,1,1,0,1,0,1,2,8.43,33,0
CUST000002,39,74.72,2928.64,One year,Electronic check,DSL,Male,No,1,0,1,1,1,2,0,22.93,5,0
CUST000003,27,35.65,965.96,One year,Credit card (automatic),Fiber optic,Male,No,0,0,1,0,0,2,2,2.4,2,1
CUST000004,5,92.82,468.93,Month-to-month,Bank transfer (automatic),DSL,Female,No,0,1,0,1,0,3,1,1.99,14,1
CUST000005,5,63.22,314.26,Month-to-month,Bank transfer (automatic),DSL,Male,No,0,1,1,0,0,5,1,1.72,6,0
CUST000006,1,67.14,65.03,One year,Mailed check,DSL,Female,No,1,0,0,1,0,3,0,2.94,52,0
CUST000007,60,58.04,3501.76,Two year,Credit card (automatic),Fiber optic,Male,Yes,0,1,1,1,1,4,3,10.91,28,0
CUST000008,27,84.32,2276.64,Month-to-month,Mailed check,DSL,Male,No,0,1,0,0,0,3,1,14.79,2,0
CUST000009,36,84.58,3093.96,Month-to-month,Mailed check,Fiber optic,Female,No,1,0,0,1,1,3,1,10.54,14,1
CUST000010,1,73.38,73.72,Month-to-month,Credit card (automatic),DSL,Female,No,0,0,0,0,0,2,0,2.96,16,1
CUST000011,72,79.12,5636.88,Two year,Electronic check,DSL,Female,No,0,0,1,0,1,2,2,8.49,52,0
CUST000012,53,59.7,3182.7,One year,Electronic check,No,Male,No,1,1,0,0,0,4,0,7.41,65,0
CUST000013,7,78.56,554.63,Two year,Credit card (automatic),No,Female,No,1,1,0,0,0,4,2,5.38,15,0
CUST000014,6,56.55,345.23,One year,Credit card (automatic),DSL,Male,No,1,1,0,0,1,2,5,5.85,48,1
